StudNo,StudentName,Birthday,Degree,Major,UnitsEarned
2011-23806,Saraann Landal,6 02 2002,Business Administration,Biology,197
2001-66639,Hillier Earles,15 02 2005,Psychology,Psychology,189
2021-56130,Raquela Molloy,5 03 2004,Education,Mathematics,152
2021-26561,Judith Bellam,18 10 2006,Environmental Science,Political Science,41
2010-18271,Tracey Packham,20 03 1995,Graphic Design,Biology,116
2015-21355,Vallie Poncet,17 11 2006,Music,Art History,43
2007-39100,Merrick Tonkinson,14 06 1999,Anthropology,Biology,9
2022-35516,Hamid Mathelon,21 10 1995,Business Administration,Political Science,100
2020-47408,Cristina Duiged,13 10 1987,Criminal Justice,Political Science,149
2011-39436,Lydia Peabody,8 02 1992,Environmental Science,Music,82
2000-85658,Mayne Dix,7 12 1992,Nursing,Engineering,178
2008-48034,Gideon Maystone,11 05 2000,Biology,Art History,61
2022-18910,Brennen Leadbeater,27 03 1988,Environmental Science,Art History,184
2019-60300,Valerye Buttrum,10 07 1992,Education,Engineering,30
2015-33593,Chrystal Oddboy,27 07 2002,Environmental Science,Biology,102
2024-98774,Terri Esche,14 06 2003,Computer Science,Sociology,122
2023-86340,Steffi Keepe,21 10 1988,Music,Computer Science,28
2016-32658,Cathy Sima,20 05 1993,Computer Science,Art History,53
2021-56609,Eric McEvoy,12 03 1993,Nursing,Business,159
2001-52397,Odo Reuter,14 08 1990,Sociology,Biology,137
2016-81424,Gizela Catling,17 11 1992,English Literature,Political Science,105
2022-20650,Tawnya Champkins,20 05 2000,Education,Computer Science,83
2009-46046,Verine Duckworth,2 02 1984,History,Mathematics,58
2015-31129,Gard Aylwin,4 09 2005,English Literature,Psychology,177
2015-51933,Domingo Iseton,10 09 1989,Nursing,Sociology,62
2016-23856,Maudie Drew,27 02 1993,Psychology,Psychology,122
2005-51084,Derk Burgon,12 04 2002,Education,Sociology,77
2014-96603,Rene Jewis,19 05 2001,English Literature,Business,153
2022-34860,Vittoria Taberner,28 03 1998,Business Administration,Mathematics,194
2008-21669,Thorn Hinkley,27 11 1985,Business Administration,Biology,4
2000-69833,Ardine Calbrathe,1 02 2002,Marketing,Business,102
2010-29569,Enid Nethercott,4 10 1994,Computer Science,Mathematics,77
2004-86310,Courtenay Filpo,14 02 1998,Marketing,Sociology,17
2014-80060,Berty Payle,6 01 1996,Computer Science,Mathematics,113
2004-35166,Lamond Croneen,29 07 1996,Education,Business,7
2016-10076,Lewes Youngman,18 03 1999,Graphic Design,Psychology,33
2018-12300,Linea McRobbie,1 07 1997,Music,Political Science,57
2021-15426,Ole Bedding,23 08 1999,Nursing,Computer Science,184
2021-90207,Corrinne Oakwood,6 01 1998,English Literature,Music,161
2022-31575,Elsey Chalkly,18 08 2002,Criminal Justice,Mathematics,156
2020-84960,Noah Hurry,27 12 2003,Education,Music,35
2003-35959,Ninnette Cote,11 09 1995,Psychology,Computer Science,93
2021-47814,Joane Kropp,30 08 1997,Education,Business,63
2000-57600,Wilburt Bassilashvili,26 12 1992,Nursing,Art History,80
2002-45275,Alano Bremmell,20 09 1998,Mathematics,Engineering,113
2008-36528,Rodie Coorington,24 11 1983,Business Administration,Engineering,106
2024-54388,Yalonda Dafforne,22 01 1987,Political Science,Biology,74
2002-51480,Cookie McDoual,20 10 1994,Biology,Computer Science,200
2018-94438,Reginauld Swapp,28 08 1982,History,Engineering,169
2001-42592,Amil Pitfield,12 03 2005,Business Administration,Engineering,185
2005-49534,Heriberto Stoeck,11 01 1985,Education,Sociology,174
2022-33425,Malanie Yancey,31 10 1992,Biology,Computer Science,81
2018-36878,Esmeralda Bruckmann,25 11 1985,Art History,Biology,106
2020-69612,Helge Wilton,28 10 1998,Marketing,Business,171
2003-46083,Marcia MacRonald,17 11 1994,Business Administration,Art History,101
2001-86618,Jeffrey Shayes,19 05 1990,English Literature,Mathematics,78
2024-43176,Aleksandr Hamber,4 02 1987,Sociology,Art History,177
2000-37040,Nancee Othick,26 02 2005,Graphic Design,Political Science,47
2000-69524,Janina Shoebottom,30 12 2004,English Literature,Computer Science,150
2012-49661,Berkeley Elies,29 02 2004,Art History,Business,93
2024-80413,Sunny Cristoferi,12 03 1983,Psychology,Biology,7
2009-95675,Collin Toffoletto,1 11 1993,Biology,Art History,189
2013-95545,Halsey Driffe,21 03 1987,Marketing,Computer Science,160
2020-20208,Hanni Stallibrass,10 08 2006,Criminal Justice,Engineering,84
2015-65548,Charissa MacCurlye,15 09 2002,Nursing,Art History,165
2017-38961,Olga McCrum,12 06 2001,Political Science,Sociology,159
2022-18274,Erskine Gallgher,18 04 1994,Sociology,Art History,32
2021-37517,Kimberly Lacey,13 09 1987,Marketing,Mathematics,171
2017-70597,Don Cuttell,3 05 2001,Psychology,Mathematics,79
2003-44709,Brina Willoughby,14 08 1992,Political Science,Political Science,66
2004-20000,Con Demonge,23 06 1992,Music,Political Science,46
2017-96866,Drugi Blemings,17 04 1998,Mathematics,Engineering,1
